"File","Tag","Class","Type"
"src/app/pages/pos/pos.component.html","<button
      class=""cart-fab""
      [class.fab-has-items]=""cart.length >","cart-fab",""
"src/app/pages/pos/components/pos-cart-drawer.component.ts","<button class=""drawer-close"" (click)=""closeDrawer.emit()"">","drawer-close",""
"src/app/pages/pos/components/pos-cart-drawer.component.ts","<button class=""qty-btn"" (click)=""decrementQty.emit(item)"">","qty-btn",""
"src/app/pages/pos/components/pos-cart-drawer.component.ts","<button class=""qty-btn"" (click)=""incrementQty.emit(item)"">","qty-btn",""
"src/app/pages/pos/components/pos-cart-drawer.component.ts","<button
              class=""ci-edit""
              (click)=""editItem.emit(item)""
              title=""Editar""
     ","ci-edit",""
"src/app/pages/pos/components/pos-cart-drawer.component.ts","<button
              class=""ci-remove""
              (click)=""removeItem.emit(item)""
              title=""Eliminar""","ci-remove",""
"src/app/pages/pos/components/pos-checkout-modal.component.ts","<button
                        class=""btn-remove-payment""
                        (click)=""removePayment.emit(i)""
     ","btn-remove-payment",""
"src/app/pages/pos/components/pos-checkout-modal.component.ts","<button class=""add-payment-btn"" (click)=""addPayment.emit('cash')"">","add-payment-btn",""
"src/app/pages/pos/components/pos-checkout-modal.component.ts","<button class=""add-payment-btn"" (click)=""addPayment.emit('card')"">","add-payment-btn",""
"src/app/pages/pos/components/pos-checkout-modal.component.ts","<button
                class=""add-payment-btn""
                (click)=""addPayment.emit('transfer')""
              >","add-payment-btn",""
"src/app/pages/pos/components/pos-invoice-list.component.ts","<button class=""chip-clear"" (click)=""clearPartner.emit()"">","chip-clear",""
"src/app/pages/pos/components/pos-product-grid.component.ts","<button
                  class=""btn-add-quick""
                  (click)=""quickAdd.emit(p); $event.stopPropagation()""","btn-add-quick",""
"src/app/pages/pos/components/pos-product-modal.component.ts","<button class=""pm-close"" (click)=""closed.emit()"">","pm-close",""
"src/app/pages/pos/components/pos-product-modal.component.ts","<button (click)=""qty = qty >","",""
"src/app/pages/pos/components/pos-product-modal.component.ts","<button (click)=""qty = qty + 1"">","",""
"src/app/pages/pos/components/pos-product-modal.component.ts","<button
                      class=""disc-type-btn""
                      [class.active]=""discountType === 'percent'""
  ","disc-type-btn",""
"src/app/pages/pos/components/pos-product-modal.component.ts","<button
                      class=""disc-type-btn""
                      [class.active]=""discountType === 'amount'""
   ","disc-type-btn",""
"src/app/pages/pos-sessions/pos-sessions.component.ts","<button
            class=""btn-icon""
            *ngIf=""row.status === 'OPEN'""
            (click)=""closeSession(row)""
 ","btn-icon",""
"src/app/pages/pos-terminals/pos-terminals.component.ts","<button class=""btn-icon"" (click)=""openEdit(row)"" title=""Editar"">","btn-icon",""
